NAME	CD8 T	B	Naive CD4 T	CD14+ Mono	NK	FCGR3A+ Mono	Memory CD4 T	DC	Platelet
FBLN7	2.03554617331439	1.90842588233058	15.2555441571295	2.14914448497044	2.54189224280894	1.06217133082778	14.600142764225	1.46077454522074	4.2021091164536
FBXL8	4.06535895007553	6.15997078314141	34.860388082148	7.29689175468965	8.58682724647927	1.06217133082778	11.8927179835273	1.46077454522074	61.5836661150863
FBXO21	13.1014990263236	19.0243732428108	36.3894627334436	12.3438344936283	12.9174876560002	14.4859806452256	60.4722017828277	16.8985208657658	4.2021091164536
FBXO33	17.7717874915484	15.8793453378612	10.4225106474928	8.57856209131358	12.4128415589431	9.13980517427205	38.4061575769619	1.46077454522074	4.2021091164536
FBXO46	1.94613203183627	2.26952669797421	2.84435922833732	2.07299888225544	12.4883254306795	1.06217133082778	1	1.46077454522074	4.2021091164536
FBXO6	45.0681814749874	21.1940565838071	7.74134572748374	40.3232147390143	138.652436318796	45.1791743820953	5.64637548288383	106.41261100739	4.2021091164536
FCAR	1.05979217346883	1.0411581521333	1	21.2877949381724	1.15492425868848	1.06217133082778	1	1.46077454522074	4.2021091164536
FCER1A	6.96183922324475	1.48065881725462	3.25791167278653	15.6401563918235	9.13744590811034	3.00930615798568	12.6614195271235	1290.5026673879	4.2021091164536
FCER1G	84.1948196830241	50.0769795164704	62.5288787197443	1863.85719102153	1527.24062387466	3863.55478632024	82.5575768847144	1204.37866240051	454.426007988804
FCER2	4.12674945817269	545.517724995239	3.71697891435042	8.78283410479261	10.0570638395349	1.96362146483906	2.88422622997114	6.02659440680026	36.1650593920758
FCGR1A	1.05979217346883	2.23504444743361	1.64909644119139	171.550546598883	1.15492425868848	15.5937506794919	1	9.28515230102682	4.2021091164536
FCGR1B	1.05979217346883	1.0411581521333	1	75.7136957377519	1.15492425868848	18.4656439748619	1	12.2110074421274	36.1650593920758
FCGR2A	1.05979217346883	6.45080228735125	6.19036866815428	222.987833770967	6.40744334943913	197.880016541969	4.16859692562394	80.4178188136121	132.801408408673
FCGR2B	3.37170669983494	157.937102955451	1.48825739300948	11.2150425602251	5.42935315008899	5.95170952336627	4.15997127804281	58.440939709752	4.2021091164536
FCGR3A	285.427581873099	17.6888886389737	22.9127702437376	85.5391261697518	1337.99340177401	2068.05062937007	20.2402699303713	37.3267270995384	99.7929673409327
FCGR3B	1.05979217346883	1.0411581521333	1.3026368456766	1	1.15492425868848	50.0061126385043	1	1.46077454522074	4.2021091164536
FCGRT	20.0048570242832	86.9826140863596	60.5194983904595	608.131760184751	17.8903329660788	336.080736389167	100.465683769029	459.990970799813	104.079695399456
FCN1	55.5559012433971	75.5386780783259	66.6950983863378	2346.91728352492	55.8174597736591	1165.00847674188	85.4708295789395	453.223496902658	119.363160492016
FCRL1	5.81897691219054	241.783382129115	8.45223786061976	8.4579039243493	5.7073986339458	16.5714438926419	10.516555881134	1.46077454522074	4.2021091164536
FCRL2	1.05979217346883	94.3301941056478	2.23853531464074	1.46953495314298	1.15492425868848	1.06217133082778	2.53937692952393	1.46077454522074	4.2021091164536
FCRL3	13.6490757109981	20.447181914711	6.09439695318731	3.45182292507011	35.659278081932	2.18414037239633	5.41383601624509	1.46077454522074	4.2021091164536
FCRL5	4.08381758754994	35.4719690659809	2.92469010244897	2.65495134613473	1.15492425868848	2.99946116387189	3.13144526971074	10.3870891341116	4.2021091164536
FCRL6	135.209706217938	2.77597946115409	3.85369145882801	1.48036213386736	181.799506811301	3.35460011932674	7.27962751454282	10.6679736972232	4.2021091164536
FCRLA	1.05979217346883	356.772304672647	4.04810631464721	1.61824144157079	3.58454229384572	3.99265266155049	2.18547122841506	11.7421622987602	4.2021091164536
FCRLB	5.70461084014498	9.81534514748443	5.63136333339712	1	19.7596720182696	1.06217133082778	2.21695726962576	1.46077454522074	4.2021091164536
