NAME	Myofibroblast	CAF	Skeletal muscle	Myocyte	Endothelial	Mast	CD4+ T conv	CD8+ T eff	Dendritic	B cell	Treg	CD8+ T exh	Macrophage	Plasma cell
CYP4F12	4.9116948387544	6.0428998667491	1	1.02957389030577	2.33041984405157	7.23465757292867	2.24655741984066	1	1.00505423613815	27.2556117108948	1	1	1	1.0133865721436
CYP4F22	1	1	1	1.02957389030577	1	46.4872523831414	4.28984559570276	6.61175202095067	1.00505423613815	1.01295334491398	1	21.6055767551439	1	1.0133865721436
CYP4X1	44.16096361327	17.0200658359961	1	1.02957389030577	2.01590343151812	1.00111362007435	1.24490159416562	1	1.00505423613815	1.01295334491398	1	1	1	1.0133865721436
CYR61	578.131705764123	617.650523275376	455.115727179095	60.9126984140386	549.778236072862	11.4442376805469	1.7126556893064	2.55231413362761	7.07603824781304	15.0105346615948	1.55170260817444	7.40852214665092	5.92431012478584	4.28168163291945
CYTIP	1.41914566362911	1.89325063743192	9.93835348196968	22.4561025318017	3.59596803787004	10.5132649630019	555.300752826571	485.106143527352	478.812990238236	397.801671548684	640.732997471305	549.778236072862	230.722905243947	661.315584564638
CYTL1	1.05044177985732	9.49644262072163	1	1.02957389030577	89.9861739197221	26.9296735540834	1.19130009106112	1	1.00505423613815	7.24487618331905	1	1	26.7477419260141	1.0133865721436
CYYR1	1	1.08176641290987	47.7350644760851	1.02957389030577	371.538510748277	1.00111362007435	1.55494294552509	1.31755318906736	2.12449742570011	7.1273051423208	1	1	3.08306116607396	3.85670840256459
DAAM2	124.135457927995	48.2971937850969	12.4493115820722	10.1898479350707	1.82774334612854	2.51510930633332	1	1.82824330874869	1.00505423613815	1.01295334491398	1	1	1.49982656106349	1.0133865721436
DACT3	28.5890335430549	1.61123784830601	1	1.02957389030577	1.07804081667993	1.00111362007435	1.16496759566503	1	1.00505423613815	1.01295334491398	1	1.24368707136548	1	1.0133865721436
DAPK1	1.02710196077489	6.83045730055792	44.9468436611554	30.5479427486395	45.774971487079	120.375461242407	6.24032132201744	1.28656126305959	167.517861865248	14.7361322765929	1.80292341273432	1.58835411887333	156.218732803161	81.4758246821564
DAPK2	1.52842027970641	8.33664206836807	36.4181286832171	201.455542866845	2.59123466595353	19.1735124446444	65.365280753488	21.7181343084402	2.31947905147005	4.70049599992329	10.5929003029862	106.717150572837	1.30423577689483	3.70025707681255
DAPL1	1	1	1	1.02957389030577	1	14.0045464940178	1	1	1.00505423613815	1.01295334491398	1	1	1.70792022392998	1.0133865721436
DAPP1	4.33925708652803	4.15208243525297	3.01668723816499	7.05539187715129	10.7071032658285	14.0978431010025	98.2989596058947	38.9503599752684	621.420845808594	176.125939596457	131.173917496516	34.7734609032922	136.535827745424	288.445628613091
DARC	1.02750860819579	1.14820128425657	14.1057408254637	1.02957389030577	561.353537086478	1.54571613277849	3.80917818755852	2.0996170649721	3.94914678579919	33.5996978054381	1	1	5.00800579315122	5.27376332235822
DCHS1	1.15933924761561	32.3822077364795	6.370902342269	1.02957389030577	60.973413309704	3.20662300008049	3.3041862804999	1.46545739485254	1.00505423613815	1.01295334491398	3.4743783734659	1.20730844127714	7.77653765636259	1.0133865721436
DCLK1	4.47986663652673	38.8281386552621	23.5859207794308	143.138943816945	1	1.00111362007435	1	1.32016597806871	2.33041984405157	3.42857637102426	1	1.31659271211027	1	1.0133865721436
DCN	475.734165226286	1093.19730907094	59.0671076184247	6.64234446294946	19.004436558025	12.3010813602012	6.88765254116926	3.23284395567194	6.36156183041212	52.285734431196	2.57628873705478	3.75584875441364	18.8789477141439	19.0707920553838
DDAH1	53.0346201587433	105.601975029466	20.7160482155335	1.02957389030577	78.7833017503297	1.00111362007435	1.13917151425073	1	8.85917706416558	1.01295334491398	1	1	1	26.6761962831166
DDIT4L	55.3525775835775	5.09358880364864	16.3411305572665	536.022979329797	2.93929517841419	1.00111362007435	1	10.7163971390717	1.00505423613815	1.01295334491398	1	12.2713955324539	1	1.0133865721436
DDN	1.11568848799524	1.01524521057253	1.24054415992126	84.9217489770681	1.31031706939559	1.00111362007435	1.08264043362878	1	1.00505423613815	1.01295334491398	1	1.38489970096733	1	1.0133865721436
